Num,R2
1,-0.851722176
2,-0.45633486
3,0.047327393
4,0.183479255
5,0.211602248
6,0.231468883
7,0.239442809
8,0.194253485
9,0.255305822
10,0.232040162
11,0.246353959
12,0.257614848
13,0.26182764
14,0.239411398
15,0.219700255
16,0.275520322
17,0.225287865
18,0.287493047
19,0.312386441
20,0.312320687
30,0.297654865
40,0.330732273
50,0.330244277
60,0.322122573
70,0.339700384
80,0.332594901
90,0.294515555
100,0.307536428
110,0.322861754
120,0.32813496
130,0.311047596
140,0.278639413
150,0.322190909
160,0.283266574
170,0.295954436
180,0.30013252
190,0.285447091
200,0.300786867
